question_id,Source,question,answer_a,answer_b,answer_c,answer_d,answer_e,answer_f,answer_g,correct_answer,category,subdomain,age_group,pedagogical_subdomain,year,secondary_category,question_id_original,pred_gemma-3-27b,Latency_gemma-3-27b,TokensUsed_gemma-3-27b,TokensUsedCompletion_gemma-3-27b,TokensUsedReasoning_gemma-3-27b,pred_gemma-3-4b-it,Latency_gemma-3-4b-it,TokensUsed_gemma-3-4b-it,TokensUsedCompletion_gemma-3-4b-it,TokensUsedReasoning_gemma-3-4b-it,pred_o4-mini-2025-04-16,Latency_o4-mini-2025-04-16,TokensUsed_o4-mini-2025-04-16,TokensUsedCompletion_o4-mini-2025-04-16,TokensUsedReasoning_o4-mini-2025-04-16,pred_qwen-3-32b,Latency_qwen-3-32b,TokensUsed_qwen-3-32b,TokensUsedCompletion_qwen-3-32b,TokensUsedReasoning_qwen-3-32b,pred_fw-deepseek-r1-0528,Latency_fw-deepseek-r1-0528,TokensUsed_fw-deepseek-r1-0528,TokensUsedCompletion_fw-deepseek-r1-0528,TokensUsedReasoning_fw-deepseek-r1-0528,pred_claude-sonnet-4-5-20250929,Latency_claude-sonnet-4-5-20250929,TokensUsed_claude-sonnet-4-5-20250929,TokensUsedCompletion_claude-sonnet-4-5-20250929,TokensUsedReasoning_claude-sonnet-4-5-20250929,pred_gemini-2.5-flash-preview-09-2025,Latency_gemini-2.5-flash-preview-09-2025,TokensUsed_gemini-2.5-flash-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-preview-09-2025,pred_gemini-2.5-flash-lite-preview-09-2025,Latency_gemini-2.5-flash-lite-preview-09-2025,TokensUsed_gemini-2.5-flash-lite-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-lite-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-lite-preview-09-2025,pred_gemini-3-pro-preview,Latency_gemini-3-pro-preview,TokensUsed_gemini-3-pro-preview,TokensUsedCompletion_gemini-3-pro-preview,TokensUsedReasoning_gemini-3-pro-preview,pred_gpt-5.2-2025-12-11-medium,Latency_gpt-5.2-2025-12-11-medium,TokensUsed_gpt-5.2-2025-12-11-medium,TokensUsedCompletion_gpt-5.2-2025-12-11-medium,TokensUsedReasoning_gpt-5.2-2025-12-11-medium
119,Pedagogy Benchmark Luganda,"Ku ntandikwa y'essomo ly'okusiiga ebifaananyi mu byafaayo by'ebifaananyi, erikwata ku makulu g'ebifaananyi mu mbeera z'obuwangwa, omusomesa ajja kusooka kwekaliriza okumanya oba nga abayizi be ab'ekibiina eky'omukaaga basobola okutegeera ekigendererwa ky'ebifaananyi eby'enjawulo. Bw'amala okwekaliriza eby'okuddamu, akiraba nti abayizi abasinga obungi boogera ku bintu ebiri mu bifaananyi, gamba ng'obuwanvu bw'olunyiriri, enkula, n'erangi, awatali kwogera ku makulu agali mu bifaananyi ebyo. Kino kimulaga nti alina okukolagana nabo okusobola okubayamba okutegeera obulungi ebifaananyi ebyo.
Ku bikolwa bino wammanga, kiki ekisobola okuyamba abayizi okutegeera engeri y’okwekenneenya ekigendererwa eky’okulaga eky’ekikolwa?",Omusomesa  asaba abayizi okwetegereza ebifaananyi eby'enjawulo eby'omulembe guno era balabe ebifaanagana mu bifaananyi ebyo.,Omusomesa alaga abayizi ebifaananyi eby'enjawulo eby'omulembe guno era n'abasaba okumanya ebifaanagana mu bifaananyi ebyo.,Omusomesa alaga abayizi ebifaananyi eby'enjawulo era n'abasaba okuwandiika engeri langi oba ebifaananyi ebyo gye bikwata ku muntu.,Omukulu w'essomero alaga abayizi ebyokulabirako ebirungi eby'ebifaananyi era n'abasaba okulaga endaba y'ensi abasiizi b'ebifaananyi gye baalina nga basinziira ku kwekenneenya ebintu bye baalaba mu bifaananyi.,,,,D,Creative arts,Teaching strategies,Secondary,,,,472,C,2.018700499997067,1414,3,0,B,0.7815221000055317,1413,2,0,B,6.088414199999534,1945,723,704,B,12.50136940000084,2269,783,982,C,13.88869220000197,1855,398,,C,2.5549756000036723,1577,4,0,D,6.441991600004258,2616,1,1212,D,1.129341599997133,1404,1,,C,14.131314199999906,2308,1.0,904,D,5.285073000006378,1389,167,157
120,Pedagogy Benchmark Luganda,"Omusomesa akola omutwe gw'ekitabo Abantu n'Ettaka mu kibiina kya munaana, ng'alowooza ku kiruubirirwa: ""Kola maapu y'obulamu bwabwe nga basinziira ku ndowooza, enneewulira, n'ebirowoozo okuva mu bulamu bwabwe."" Okukola maapu eno, omusomesa ateesa okukozesa omutendera gw'okukoola ebintu. Nkola ki ey'emirimu esinga okusaana okukulembera abayizi mu kukola maapu yaabwe ey'obulamu?","Kola ekipande ekiraga obulamu bwo, wekenneenye ebitundu byakyo eby'enjawulo, kuba maapu yaakyo, era oteekemu ebitundu by'ekipande.","Gattako ebifaananyi mu maapu, gamba nga okusiiga n'okukuba ebifaananyi, nonnyereza ku bifo ebiragiddwa mu maapu eyo.","Kola ekiwandiiko ekikwata ku bulamu bwo, wekenneenye ebitundu byakyo eby'enjawulo, kuba maapu yaakyo, era oteekemu ebitundu by'ebifananyi n'ebisiige.","Lowooza ku byafaayo byabwe, kuŋŋaanya era okole ebipande by'ebiwandiiko ku lupapula olunene, ssaawa ekiwooto, era okwataganyaamu okusiiga.",,,,C,Creative arts,Teaching strategies,Secondary,,,,475,A,2.8302793000038946,1255,3,0,B,0.4821472999974503,1254,2,0,B,6.803383200000098,1900,787,768,B,10.730860899995603,1581,261,325,D,30.218013099998643,2607,1299,,C,2.358653499999491,1426,4,0,D,5.671500000004016,2349,1,1104,C,0.8688739999997779,1245,1,,D,28.189677499991376,3314,1.0,2069,C,3.1591911000432447,1221,108,98
121,Pedagogy Benchmark Luganda,"Omusomesa, mu kibiina kya S.3, mu mutwe gw'ekigambo Eby'ennyimba Bye Bitulaga, atandika okukwata ku kiruubirirwa kino: ""Okukola omulimu omutono ogw'ennyimba nga bakolagana nga basinziira ku mbeera y'amaloboozi egimu, nga bakozesa eddoboozi lyabwe, emibiri gyabwe, ebivuga by'ennyimba, n'ebintu ebiwanika amaloboozi eby'enjawulo, okusobola okunoonyereza ku maloboozi agali okumpi agazingizza abayizi."" Nkola ki esaanira abayizi okutandika okukolera ku kiruubirirwa ekyo?
",Okunoonyreza ku maloboozi g'ebintu eby'enjawulo ebinaayanguya enkola y'okutonda ennyimba.,Okukola okunoonyereza ku butonde obulungi mu kyalo n'ekibuga.,Okuzuula n'okuwuliriza amaloboozi mangi aganakola ku mbeera y'amaloboozi.,Okulonda ebivuga nti buli memba mu kibinja bikyukakyuka mu n'okubyolesa mu lujjudde,,,,C,Creative arts,Student understanding,Secondary,,,,479,C,1.2059571999998298,1210,3,0,A,0.4856894999975338,1209,2,0,C,4.422610199995688,1532,467,448,A,3.894436800001131,1472,217,312,C,8.420824300003005,1548,291,,C,2.24697659999947,1357,4,0,C,5.917679199999839,2171,1,971,C,1.0390272999939043,1200,1,,C,11.371180800022556,2046,1.0,846,C,3.546753600006923,1166,101,91
122,Pedagogy Benchmark Luganda,"Omusomesa wa pulayimale yalagidde abayizzi be ab'ekibiina eky'okusattu okusoma nga bwebaddamu olugero olumpi olulagibbwa ku lutimbe. Mukusooka, bali bakusoma kinnomu atte mukasirise, oluvanyumma, baatule, nga bagoberera obubonero obwempandika. Kika ki eky'okuyiga ekifuna mu mu bikolwa ebilagiddwa?",Okukuguka mu byensoma,Okuzzamu ammanyi okusoma okw'okutegera,Okwekeneenya enjatula y'ebigambo,Okummanya okusoma okw'obubonero,,,,D,Creative arts,Teaching strategies,Secondary,,,,483,B,0.7900876999992761,1067,3,0,B,0.4679582999960985,1066,2,0,A,10.495699799997965,1979,1043,1024,B,7.253918200003682,1567,450,582,B,11.245223700003407,1585,477,,D,3.3994945000013104,1195,4,0,D,4.092821199999889,1668,1,611,B,0.9478888000012377,1057,1,,A,7.463929599965922,1450,1.0,393,D,2.8237245999625884,1020,84,74
123,Pedagogy Benchmark Luganda,"Okukola ku yuniti y'Okumanya Abasiizi b'Ebifaananyi Ab'omulembe n'Okuddamu Okukola Ebikolwa Byabwe, omusomesa wa siniya ategese okukola essomo n'abayizi abali mu mwaka ogw'okuna mw'anaatambulira ku mirimu gya Frida Kahlo, ng'anyikiza obukulu obukulu bw'ebyafaayo by'obulamu bwe mu bisiige bye. Ng'omulimu, anaasaba abayizi okuddamu okutondeka ekifaananyi ky'omulunzi okusinziira ku birowoozo byabwe n'engeri zaabwe. Mu nkola y'okutonda ebifaananyi ebitonotono, omusomesa akiraba nti abayizi bakoppa ebikolwa mu kifo ky'okubiddamu. Bibuuzo ki ebisaana omusomesa okubuuza abayizi okubalagirira n'okwanguya okwolesa ebirowoozo byabwe mu bikolwa byabwe?",Ebintu ki ebyaliwo mu bulamu bwa Frida Kahlo bye yayolesa mu milimu gye? Birowoozo ki by'olabye nti yali ayolesa? Bifaananyi ki na langi ki ze wandikozesezza okukiikirira ebirowoozo ebyo?,Olowooza emulimu gya Frida Kahlo gyandibadde gitya singa yali n’obulamu obutalimu kubonaabona kungi? Mu ngeri ki gye wandilazeemu okubonaabona? Biki ebifaananyi n’langi  ze wandikozesezza?,Biki ebikubaddeko mu bulamu bwo ebikufaananya ku ebyo ebyatuuka ku Frida Kahlo? Birowoozo ki ebijjukizo ebyo bye bikuleetera? Bifaananyi ki na langi ki z’olowooza nti byandiyolesezza ebirowoozo ebyo?,Ojukira engeri ebintu Frida Kahlo bye yakozesanga mu kukuba ebifaananyi bye byaali zitya? Engeri gy’akozesaamu ebintu ebirabika ng’ennimi eyongera etya ku ngeri gy’alagaamu enneewulira ze? Bintu ki ku by’akola byandikusiimye okukozesa mu bifaananyi byo?,,,,C,Creative arts,Teaching strategies,Secondary,,,,485,A,0.8107976999963284,1471,3,0,A,0.5189897000018391,1470,2,0,C,8.342995200000587,2223,915,896,C,21.298990999996025,2006,463,607,C,11.14941810000164,1979,449,,C,2.6770896000016364,1665,4,0,C,6.608378900004027,2790,1,1329,A,1.0245474000039394,1461,1,,C,10.189274800010026,2099,1.0,638,C,3.247142000007443,1397,89,79
127,Pedagogy Benchmark Luganda,"Omusomesa asaba abayizi be okulaga emiwendo  ne'bisale byensimbi ne sente zentege, bamale bawandiike ebintu ebyo mu butabo bwabwe obutono . Biwandiiko byakikula ki omusomesa byajuliza mu kikolwa kino ?",Okuggatta,okupanga ebifo,Okugeraageranya ebibalo,okumenyamenya ebibalo,,,,D,Maths,Teaching strategies,Primary,,,,493,C,5.591099600002053,1041,3,0,C,1.2805695999995803,1040,2,0,A,11.897285599996394,2033,1107,1088,B,10.983810799996718,1568,487,600,A,9.61341050000192,1395,314,,D,2.5905818000028376,1174,4,0,B,3.285246300001745,1691,1,660,C,0.4239526000019396,1031,1,,D,53.52418270002818,5118,2.0,4086,D,6.04853509995155,1180,254,244
128,Pedagogy Benchmark Luganda,Lwaki okukozesa ebikokko by'emisingi emingi kusobozesa abayizi okukozesa obulungi okugatta obulungi  ?,Kubanga bategeera omukwanaganyo omufupi ogw'okugatta nga twetikka.,Kubanga bateeka digito mu nteekateeka entuufu nga bamala ggonjoola ekibalangulo.,Kubanga bakwataganya okubala mu bwongo n'ebintu ebikwatika okugattako,Kubanga bakuŋŋaanya ebintu mu kkumi okubyongera ku kifo ekiddako,,,,D,Maths,Teaching strategies,Primary,,,,494,C,2.8431715999977314,1084,3,0,C,1.0255830999958562,1083,2,0,C,5.662339000002248,1425,467,448,A,6.012969000003068,1457,332,441,D,9.262993800002732,1440,316,,C,2.6491239000024507,1226,4,0,D,4.023944400003529,1810,1,736,C,0.8320394000038505,1074,1,,D,9.733635000011418,1694,1.0,620,C,3.54324099997757,1078,120,110
129,Pedagogy Benchmark Luganda,"Soma embeera wammanga n'ekigenderwa ky'okuyiga eky'ekibiina eky'okusatu: Okugezesa okutegeera endowooza y'ensonda: Okulondoola eby'okulabirako by'ensonda mu buwangaaliro, okubalirira ekipimo ky'ensonda nga akozesa ensonda 45°ne 95°nga ez'okulabirako."" Ku mirimu egiweereddwa wammanga guliwa ogusinga okutuukirawo okulaba entegeera yaabwe?","Kika ky'enjuyi ez'enjawulo
","Kola engulu z’ebipimo ebyenjawulo.
","Tegeera engeri enjawulo z’empuyi mu kiifananyi
","Pima empimo z'enjuyi ez'enjawulo ng'okozesa ekipima ky'enjuyi.
",,,,C,Maths,Teaching strategies,Primary,,,,498,B,4.289211700001033,1152,3,0,A,1.3869341999961762,1151,2,0,D,5.110959500001627,1484,467,448,D,87.29481519999536,2127,933,1015,B,8.816886799999338,1527,338,,D,3.03678139999829,1299,4,0,B,4.139808600004471,1890,1,748,C,0.9668837999925016,1142,1,,C,47.33679770003073,4508,1.0,3366,B,3.939186399977189,1143,126,116
130,Pedagogy Benchmark Luganda,Omusomesa asoma ennamba ebinnakkumi era bwamala okwogera ettaano n'obusumi bubiri akizuula nti abayizi bangi bawandise5.2000. Olowooza ku mirimu egiweereddwa wammanga guliwa ogwandisinze okugolola ensobi eno mu nziramu ya bayizi.,Okuwandiika ebinnakkumi mu bigambo.,Tegeka ebinnakkumi mu layini ye nnamba.,Teeka ebinnakkumi mu kibazo kye bifo by'ennamba.,Geraageeranya ebinnakkumi me miwendo gy'enjawulo egya nnamba,,,,C,Maths,Student understanding,Primary,,,,499,B,2.036133499997959,1103,3,0,C,1.0076427000021797,1102,2,0,D,13.815595799998846,2273,1301,1280,D,20.041394499996382,1907,774,875,C,8.644674100003613,1422,291,,C,2.891177899997274,1239,4,0,C,4.898366700006591,1989,1,896,C,0.4833874000032665,1093,1,,C,10.07830880000256,1734,1.0,641,C,4.08924520004075,1125,153,143
131,Pedagogy Benchmark Luganda,"Omusomesa asaba abaana okubuulira bannaabwe abantu abakola omuryango gwabwe, nga boogera abakulu bameka, abavubuka bameka, n’abaana bameka abali mu buli muryango. Oluvannyuma, bakola akapanel ke bagenda okuterekako ebifananyi ebyasaliddwa ebiraga omuwendo gwonna ogw’ajjajja, abazadde, abavubuka, n’abaana abali mu kibinja kyonna. Mulamwa ki omusomesa gw’asinga okukolako mu mulimu ogunnyonnyoddwa?
",Okuyingiza mu nsengeka y'ebifo.,Okugera omuwendo.,Mu ngeri ey'enjawulo.,Okusalibwa ng'omusumeeno.,,,,B,Maths,Teaching strategies,Pre-primary,,,,502,B,2.2743485999963013,1138,3,0,C,1.0589747999983956,1137,2,0,B,7.532069699998829,1725,724,704,C,16.328733700000157,1571,399,484,B,9.64270309999847,1501,335,,B,2.3798061999987112,1279,4,0,B,5.360046300003887,2097,1,969,B,0.7584957000071881,1128,1,,C,39.48455719999038,3924,1.0,2796,B,2.9831284999963827,1097,96,86
132,Pedagogy Benchmark Luganda,"Ku bino wammanga ebisomesebwa mu kubala, kiruwa ekituukibwako okuyita mu serialization?",Okukola ebibuzo by’okugatta n’okwawuza.,Okutegeera nti ennamba zirina enteekateeka ennamu okuyita mu njawulo z'obunene,"Okutegeera anti okukuba e namba ku gulaafu, akabonero kabaamu enamba endala zonna.","Okukakasa nti newankubadde enkyukakyuka mu nteekateeka y’okubala, bulijjo kivaamu ansa ye'mu.",,,,B,Maths,Teaching strategies,Pre-primary,,,,504,B,1.4042588000011165,1092,3,0,B,1.0176092999972752,1091,2,0,B,4.084915899999032,1300,339,320,C,6.019936199998483,1534,402,541,B,8.116433399998641,1431,302,,B,2.355252000001201,1226,4,0,B,4.094283099999302,1768,1,686,B,1.0362191000021994,1082,1,,B,8.632013400027063,1553,1.0,471,B,1.4994568000547588,997,36,26
133,Pedagogy Benchmark Luganda,"Soma embeera eno: Josefa akola ennyiriri bbiri nga buli emu erimu basirikale abapulasitiika bataano. Omusomesa amusemberera namubuuza: ""Abasirikikale  abalala baliwa?"" Oluvannyuma namuddamu, omusomesa akuŋŋaanya abasirikale abalala okuva mu lumu ku nnyiriri namubuuza: ""Waali tewali abasirikale abatono?"" Mulamwa ki ogw'ekibalangulo omusomesa gw'ayagala okukakasa mu mbeera eyo waggulu?",Okusengeka ebintu mu mutindo.,Obusinziiro,Okukuuma obutonde bw’ensi,Okukyusa obuzza bwe butyo,,,,C,Maths,Assessment,Pre-primary,,,,505,B,2.562009500004933,1124,3,0,B,0.5227259999956004,1123,2,0,B,4.156707799993455,1340,339,320,B,7.047088200000871,2408,1235,1370,B,12.646450499996718,1565,395,,D,2.39001129999815,1280,4,0,C,4.048324600000342,1767,1,653,A,1.088669099990511,1114,1,,C,19.98174190003192,2672,1.0,1558,B,5.5579593000002205,1206,205,195
134,Pedagogy Benchmark Luganda,"Omusomesa wa pulayimale yalagidde abayizzi be ab'ekibiina eky'okusattu okusoma nga bwebaddamu olugero olumpi olulagibbwa ku lutimbe. Mukusooka, bali bakusoma kinnomu atte mukasirise, oluvanyumma, baatule, nga bagoberera obubonero obwempandika. Kika ki eky'okuyiga ekifuna mu mu bikolwa ebilagiddwa?",Okukuguka mu byensoma,Okuzzamu ammanyi okusoma okw'okutegera,Okwekeneenya enjatula y'ebigambo,Okummanya okusoma okw'obubonero,,,,D,Maths,Teaching strategies,Primary,,,,508,B,4.376426700000593,1107,3,0,B,1.1526012999966042,1106,2,0,D,15.09996140000294,2148,1172,1152,A,12.153643000005104,2043,887,1058,D,8.000673800001096,1419,273,,D,2.4422064000027603,1248,4,0,A,4.403342400000838,1822,1,725,B,0.8818611000024248,1097,1,,A,8.241162199992687,1575,1.0,478,D,1.827147500007413,1035,59,49
135,Pedagogy Benchmark Luganda,"Mu kibiina eky’omunaana, omusomesa aleeta ekigendererwa ekyokuyiga eri ekibiina: okukola enkyukakyuka ez’ekitendero, ez’ekifo, n’ez’endabirwamu mu lukoloboze lwa Katisiyaani. Oluvannyuma, atekateeka ekibiina mu bibinja okugenda mu kisenge ky’ekkompyuta mw’ateekeddwa pulogulaamu y’ebibalangulo by’ebintu ebifaanaanyirizi abayizi gye bamanyi. Mu pulogulaamu eyo, abayizi balina okukola enkyukakyuka ez’ekitendero eziri mu bubiri ez’ekika kye gimu (enkyukakyuka ez’ekitendero ebbiri nga zikolera ku katengo ke kamu, endabirwamu ebbiri nga zikolera ku layini z’omuteeko, oba enkyukakyuka ez’ekifo ebbiri) omusomesa z’aba awadde. Ku lubaawo, omusomesa awandiika ekibuuzo okulung’amya omulimu. Mu bibuuzo bino wammanga, kiki omusomesa ky’ayinza okukozesa okulung’amya omulimu gw’abayizi okutuukiriza ekigendererwa ekigambiddwa?",Kiki ekibaawo ng’omugatte gw’enkyukakyuka gukoleddwa?,Buzibu ki bwe wasanze ng'okola enkyukakyuka mu kiyiiye?,Buli kiyiiye kinyonyodwa kitya munkyukakyuka emu yokka?,Ebintu ebikozesebwa mu buli nkola y’okukyusa ebintu ebiyiiye?,,,,C,Maths,Teaching strategies,Secondary,,,,513,A,0.874837799994566,1360,3,0,B,1.0095426999978372,1359,2,0,A,7.714735599998676,1985,787,768,D,11.93326679999882,2002,593,756,A,7.784598500002176,1677,267,,C,2.859455400001025,1539,4,0,C,5.521525299998757,2388,1,1038,C,0.8741871999955038,1350,1,,C,11.058801199949812,2047,1.0,697,A,3.3080367000075057,1285,87,77
136,Pedagogy Benchmark Luganda,Ku mirimu egikuwereddwa wammanga guliwa ogukubiriza abayizzi okukola byebatebereza okuba ebituufu?,"Gonjoola obukunizo buno okakase nti ebiddibwamu namba zamugeragerano.
1) x + 3 = 7
2) 2x + 3 = 7
3) 3x + 3 = 7","Bala mu migatte omale gino omale wekeneenye alizaati. ki kyolabye?
1) 1+3
2) 1+3+5
3) 1+3+5+7","Laga obuwanvu bwa lekitango omale olage kyolaba.
1) Eyenjuyi z'obuwanvu bwa  sentimita 3 ne 4
2) eyenjuyi yobuwanvu bwa sentimita  4 ne 6
3) eyemjuyi yobuwanvu bwa sentimita 6 ne 9","Zuula ekyoddamu kyo olunyiriri era okikozese okuddamu olukangaga.
123
1 2-1
xy
-1
0
1
2",,,,B,Maths,Teaching strategies,Secondary,,,,515,A,0.874017999994976,1233,3,0,A,0.5705784000019776,1232,2,0,D,13.441703700002108,2327,1236,1216,B,8.590744199995243,1651,384,485,B,13.084603799994513,1585,317,,C,2.2549300999962725,1368,4,0,B,5.9617031999951,2234,1,1011,B,1.028387099999236,1223,1,,B,11.029289199970664,1996,1.0,773,B,3.6013822000240907,1225,134,124
137,Pedagogy Benchmark Luganda,Mu mbeera y'okugunjoola ebizibu n'emirimu gya affayini. Eriwa endowooza enkyamu esinga abayizi gye balina?,"Enkyukakyuka zikwatagana butereevu, nga bwe kiri mu mikutule egy'emirongoofu
","Omusengeko gw'emikutu gyonna egya affine gwa positive kubanga gissibwa mu quadrant esooka ey'ennyanguyirizi ya Cartesian.
","Enkyukakyuka zikwatagana mu bukwatane obw’omugattiko, obutafaanana nga bwe kiba ku nkola za layini empanvu.
","Omukutuko ku eksisi-yaki eya ffunsa za afiini zonna nnyoimu kubanga zisiigiddwa mu kyakuna ekisooka eky'ennyanguyirizi ya Kaluteeziyo.
",,,,A,Maths,Student understanding,Secondary,,,,518,A,0.7288722000012058,1149,3,0,A,1.0382603000034578,1148,2,0,A,7.969273100003193,1929,915,896,B,12.798775600000226,1891,705,919,D,11.652053800004069,1647,459,,B,2.305642200000875,1297,4,0,A,5.376946700002009,2024,1,885,C,1.0277172999922186,1139,1,,A,13.430989799962845,2010,1.0,871,A,4.340164199995343,1166,152,142
138,Pedagogy Benchmark Luganda,Ki ku bino ebiraga okwekaliriza ekisinga okuba ekituufu mu kwekaliriza ekigendererwa ky’okusoma mu kibiina  ekya 10/11 ‘Okulaga ekigoberero kya Pythagoras n’ekigoberero kya Pythagoras ekikontana?’,"Laga, n’obujulizi obukakasa, enkolagana wakati w’ebitundu bya square ebyazimbibwa ku magulu g’omugogo ogw’ensonda ennesimbu n’ekitundu kya square ekyazimbibwa ku mukutu ogw’ensonda ennesimbu.","Ggonjoola ebizibu ng’okozesa akatundu ka Pythagorean ne nkyukakyuka yaako, ng’olambulula buli mutendera.",Kakasa omukwano oguli wakati w’amagulu n’olusekkati olw’ompeto ennesimbu nga osinziira ku  Euclid.,"Kozesa ebinyigizo bya Payisagolaasi(Pyhtogras), okukakasa teolemu ya Payisagolaasi(Pythagoras) n’ekigattako kyayo.",,,,C,Maths,Assessment,Secondary,,,,530,A,2.392629699999816,1215,3,0,A,0.5221122000002651,1214,2,0,D,6.207583299998078,1867,787,768,B,13.497177500001271,1911,645,783,A,8.835761499998625,1527,270,,D,2.51550270000007,1377,4,0,A,4.6655928999971366,2070,1,865,A,1.027910899996641,1205,1,,A,46.48966029996518,4570,2.0,3364,B,3.6839618000085466,1225,145,135
139,Pedagogy Benchmark Luganda,"Omusomesa ayagala abayizzi  be okuyiga,okugatta n'okutoolako  ennamba  z'omugerageranyo'.Kulamula ki okusinga, okusinziira ku musomesa ?",Teebereza alisaati eziva mu ku gatta n'o kutoolako kwe nnamba z'o mugerageranyo,Bala okugatta n'o klutoolako okw'e nnukuta ze'mikutule ennungi n'embi,"Zuula okugatta oba okutoolako kw'e nnamba z'omugerageranyo ezikkiriza okugojoola kw,o buzibu",Kakasa obutuufu bw'a alizaati ezifuniddwa mu kugonjoola kwobuzibu obwekuusa kuku gatta n'o toolako kwe nnukuta ze' mikutule,,,,B,Maths,Teaching strategies,Secondary,,,,531,C,5.748868000002403,1140,3,0,B,0.5790879999985918,1139,2,0,C,8.348281400001724,2043,1043,1024,B,8.137908299999253,1683,507,696,C,9.001610000006622,1517,337,,C,2.382237099998747,1292,4,0,B,4.406376999999338,1878,1,748,C,0.9360133000009228,1130,1,,C,46.17832850001287,4814,1.0,3684,C,6.921549200022128,1222,222,212
140,Pedagogy Benchmark Luganda,"Mu siniya, omusomesa ayagala okukozesa engeri z'ebikunizo bya logarithms ng'akolagana n'ebitundu ebirala. Mu bibuuzo bino omusomesa by'ateese, kiki ekisobola okukolebwako nga tukozesa engeri zokka ez'ebikunizo bya logarithms?","Omunnyo gwa pH ogw’ekintu gupima embeera y’obutiddwa oba obuzzi bw’ekyo nga tukozesa omugatte pH = −log[H+], we [H+] gy’eri obungi bw’obuziba bwa haidrojeni mu mooli buli liita. Bwe kiba nti omunnyo gwa pH gw’ebbugga guli 3.0, [H+] kiba ki?","PH y'ekintu ekipimibwa okulaba oba nga kirimu asidi oba nga kirimu omunnyo nga tukozesa foomula PH = −log[H+], [H+] bwe buwangaaliro bwa atomu za ayidologyeni mu moole buli liita. PH ey'ekintu ekirina [H+] eya 3.4*10−8 eri etya?","Amaanyi agafulumizibwa mu musisi gapimwa ku kipimo kya Richter nga tukozesa omukwanaganyo logE = 1.5R + 11.8, E weeri amaanyi agafulumiziddwa mu ergs ate R bwe bunene bw'omususni ku kipimo kya Richter. Amaanyi agaafulumizibwa mu musisi ogwa Valdivia mu 1960 gaali gatya, nga obunene bwaagwo bwali 9.6?","Amaanyi agava mu musisi gapimwa ku kipimo kya Richter nga tukozesa fomula logE = 1.5R + 11.8, E gy'amaanyi agavaayo mu ergs ate R bwe bungi bw'amaanyi ku kipimo kya Richter. Singa amaanyi agava mu musisi guba 1025, obungi bw'amaanyi bwabwo buba bungi ki?",,,,B,Maths,Teaching strategies,Secondary,,,,532,A,4.215490700000373,1440,3,0,B,0.5109453999975813,1439,2,0,D,8.293507399997907,2325,1043,1024,,234.9794006000011,17906,16384,19856,D,16.021343399996113,2074,580,,B,9.364718600001652,2088,448,0,B,5.698921099996369,2595,1,1165,A,1.003167199989548,1430,1,,B,21.689157999993768,3272,1.0,1842,D,7.072837200015783,1647,365,355
141,Pedagogy Benchmark Luganda,"Omusomesa wa siniya mu mwaka gwe ogwookuna ategekera ebibiina bye ebijja , mwasuubira abayizi be okutegeera endowooza ezirina akakwata n'okusaasaana okwa bulijjo. Omusomesa ajja kukozesa bino ebibiina ebibiri okukola ku by'okuyiga ebyasooka okwanguyiza entegeera ya abayizi ku bipya ebirimu. Nsengeka y'ebintu ki esinga okutuukirawo olw'ekigendererwa ekiragiddwa?","Ekibiina 1: Tegeera omulamwa gw'enkyukakyuka eya kyebalanga eyawukana ng'omukwanaganya ebintu ebiri mu kifo ky'okukebera n'ennamba entuufu. Ekibiina 2: Kozesa omulamwa gw'enkyukakyuka eya kyebalanga eyawukana okwekenneenya enkekera z'obukkakkamu mu mbeera ez'enjawulo.
","Ekibiina 1: Nnyonnyola amakulu g'ekikyusabukyusa ekitali kikomekko. Ekibiina 2: Kozesa emiramwa gy'omukolo gw'obungi n'okugabana kw'obuwangwa mu kikyusabukyusa ekitali kikomekko.
","Ekibiina 1: Geraageranya engeri z'ebibiina by'ebipimo bibiri oba okusingawo ng'okozesa ebipimo eby'obuwangwa obwa wakati n'ensaasaanya. Ekibiina 2: Kakasa nti aw средний y'ebipimo eby'omugaso ogwa n, ebiggyibwa mu bantu, gisaasaanyizibwa mu бунга nga omuwendo gw'ebipimo bwe gweyongera.
","Ekibiina 1: Bala era onnyonnyole amakulu g'omuwendo ogwa wakati (arithmetic mean) ogw'ebintu ebitagattiddwa mu bibinja. Ekibiina 2: Bala era onnyonnyole amakulu g'obupimo obwa bulijjo (standard deviation) obw'ebintu ebitagattiddwa mu bibinja.
",,,,B,Maths,Teaching strategies,Secondary,,,,533,D,1.6489360999985363,1473,3,0,D,0.5306855000017094,1472,2,0,D,4.225347200001124,1775,467,448,C,3.3701978999888524,2363,823,1117,C,11.047174599996652,1936,409,,C,2.6801803999987897,1671,4,0,C,6.98409740000352,2813,1,1350,C,0.9240871000074548,1463,1,,D,44.84409749996848,4613,2.0,3149,D,6.001509299967438,1518,210,200
